source,target,weight
about,our,0.1517700744257636
above,many,0.14623431232103443
across,many,0.1557193729901675
across,or,0.14881638619669388
across,our,0.15373650757407653
after,some,0.15196328556437744
along,little,0.15431937473483026
along,may,0.147129257701705
along,over,0.14685298254449664
amid,or,0.15441381977470744
among,many,0.14674688497253777
among,some,0.14519453299151355
another,many,0.14877612184629807
another,upon,0.15668645716621332
anything,or,0.15238491454913936
away,us,0.1488427049077879
bar,us,0.15066464477566613
before,many,0.16141084711059656
behind,little,0.16088042625150178
beneath,little,0.14799023926489166
beneath,many,0.15382655776463222
beneath,upon,0.16871860637249084
can,upon,0.1672140072014368
certain,upon,0.16187307359840047
could,then,0.1491863395142385
each,or,0.1462252924599542
enough,us,0.15414182948572558
from,little,0.15943390186827874
from,then,0.15159225925695569
if,us,0.14928796378067244
in,little,0.15161363832614347
in,many,0.14530380020026287
into,little,0.15283840039698188
into,many,0.14758372218374205
into,then,0.14652213136181494
into,upon,0.18036199874792766
it,little,0.1510331557301211
it,many,0.15320918729953883
it,upon,0.15133085385950407
many,spite,0.15385642967203828
many,many,0.15100803037564378
more,or,0.1451200210869567
near,us,0.1536761184113889
next,us,0.1503348371520312
none,little,0.1561226501000146
nor,little,0.149815615225043
one,little,0.15922897295292537
save,upon,0.1805927342046908
shall,our,0.15039302041258615
should,or,0.1633652241764707
should,where,0.14783605529120336
something,many,0.1527518599848612
such,away,0.15097989982305354
such,many,0.1634649789955243
such,or,0.15433310944978426
such,our,0.1525493339297346
themselves,upon,0.18047363042023656
then,or,0.1664649125427092
those,us,0.15058137671950877
till,many,0.15820175885315774
till,us,0.14641443907309856
to,or,0.1458610344128563
toward,or,0.1471408232475156
toward,upon,0.15124451552195756
under,many,0.15307721422803197
under,or,0.14517687850558972
under,our,0.147910910684489
until,many,0.1677901804420896
up,given,0.14571346100044533
us,upon,0.14565995739864823
what,little,0.14564767557786354
when,according,0.14603857712281565
when,little,0.1525339743477585
when,upon,0.1818425291455815
whenever,many,0.1475088499675786
where,spite,0.1648166662459746
where,upon,0.153562582629117
while,upon,0.18667166461433854
who,many,0.16147969660252173
who,or,0.15255935335887594
who,some,0.14851720050006462
who,upon,0.16203587831628316
will,upon,0.160876829441678
without,many,0.15200179366610328
without,then,0.14950674635367658
